account, text, date
"DracheOffiziell", "???? LIVE auf #YouNow - http://www.younow.com/DrachenLord_Offiziell/55863354/7480353/1021/b", "1435685520"
"DracheOffiziell", "DrachenLord ist Tot Lang Lebe DrachenHater #RIPDrache", "1435712400"
"DracheOffiziell", "Leute abgesehen von Schlafmangel fällt mir nichts glaub doch bitte nicht immer was du hättest sagen… https://instagram.com/p/4llm2UHbaT/", "1435740300"
"DracheOffiziell", "schauen wir mal ob wir es mit #DracheLebt noch mal in die Trennts schafen das würde die hater ärgern XD", "1435741080"
"DracheOffiziell", "???? LIVE auf #YouNow - http://www.younow.com/DrachenLord_Offiziell/56062691/7480353/1021/b", "1435772940"
"DracheOffiziell", "???? LIVE auf #YouNow - http://www.younow.com/DrachenLord_Offiziell/56064871/7480353/1021/b", "1435774020"
"DracheOffiziell", "???? LIVE auf #YouNow - http://www.younow.com/DrachenLord_Offiziell/56072645/7480353/1021/b", "1435777440"
"DracheOffiziell", "???? LIVE auf #YouNow - http://www.younow.com/DrachenLord_Offiziell/56074627/7480353/1021/b", "1435778280"
"DracheOffiziell", "???? LIVE auf #YouNow - http://www.younow.com/DrachenLord_Offiziell/56086900/7480353/1021/b", "1435783320"
"DracheOffiziell", "???? LIVE auf #YouNow - http://www.younow.com/DrachenLord_Offiziell/56088717/7480353/1021/b", "1435784040"
"DracheOffiziell", "kein internet mein Router spinnt bin in 2 Tagen vermutlich wieder online bis dahin meine Drachen", "1435862640"
"DracheOffiziell", "Ok heute Schweinfurt rockfabrik freu mich schon", "1435947120"
"DracheOffiziell", "Auf nach Schweinfurt in die Rockfabrik https://instagram.com/p/4r4cq0HbRl/", "1435955100"
"DracheOffiziell", "Gut fast da freu freu", "1435955400"
"DracheOffiziell", "So in der Rockfabrik", "1435957560"
"DracheOffiziell", "Meine Karte Für Summer  Breeze ist da https://instagram.com/p/4uE4M6nbe4/", "1436025120"
"DracheOffiziell", "weiter gehts http://www.younow.com/DrachenLord_Offiziell/58067228/7480353/1021/b", "1436879100"
"DracheOffiziell", "Ok stream vorbei habe keine lust auf andauernten ddos heute abend geht es weiter nachher kommt ein video on bd", "1436880240"
"DracheOffiziell", "Danke an die jungs von IT Jungs von @JINX für die geilen shirts werde heute im Stream den ich abends noch mal mache euren brief vorlesen :)", "1436886120"
"DracheOffiziell", "???? LIVE auf #YouNow - http://www.younow.com/DrachenLord_Offiziell/58077751/7480353/1021/b", "1436888640"
"DracheOffiziell", "???? LIVE auf #YouNow - http://www.younow.com/DrachenLord_Offiziell/58081164/7480353/1021/b", "1436891160"
"DracheOffiziell", "???? LIVE auf #YouNow - http://www.younow.com/DrachenLord_Offiziell/58082498/7480353/1021/b", "1436892000"
"DracheOffiziell", "???? LIVE auf #YouNow - http://www.younow.com/DrachenLord_Offiziell/58100892/7480353/1021/b", "1436900580"
